Location,Milk,Rent,Meal,Water
"Aberdeen, SD",0,0,0,0.79
"Aberdeen, WA",4.13,"1,100.00",20.00,2.47
"Abilene, TX",3.34,"1,000.00",13.50,1.70
"Abingdon, MD",2.97,0,25.00,0
"Abingdon, VA",0,550.00,10.00,2.00
"Acton, MA",4.99,0,0,0
"Acworth, GA",3.00,800.00,27.50,2.25
"Ada, OK",4.05,800.00,10.00,0
Addison IL,0,0,0,0
"Adelanto, CA",4.54,0,20.00,1.00
"Adrian, MI",0,0,10.00,1.25
"Aiken, SC",4.27,0,12.00,2.00
"Airway Heights, WA",3.00,0,15.00,2.22
"Akron, OH",3.03,883.33,15.00,1.42
"Alameda, CA",5.50,"2,400.00",20.00,2.25
"Alamogordo, NM",0,0,15.00,0
"Albany, GA",4.48,"1,300.00",15.00,1.39
"Albany, NY",4.06,"1,407.50",19.00,2.22
"Albany, OR",4.27,0,15.00,2.92
"Albert Lea, MN",3.92,0,16.00,2.06
"Albrightsville, PA",5.04,0,22.50,2.57
"Albuquerque, NM",4.13,"1,582.18",16.00,1.67
"Alexandria, LA",4.68,850.00,12.00,2.20
"Alexandria, MN",3.59,900.00,10.00,1.25
"Alexandria, VA",3.50,"2,450.00",25.00,2.23
"Alhambra, CA",7.00,"2,300.00",25.00,0
"Aliso Viejo, CA",2.50,"2,800.00",50.00,2.17
"Allegan, MI",3.53,750.00,15.50,1.88
"Allen, TX",3.59,"1,500.00",16.00,1.66
"Allentown, PA",4.98,"1,487.50",24.00,1.67
"Alpena, MI",3.82,"1,050.00",0,0
"Alpharetta, GA",3.48,"1,892.50",18.50,2.00
"Alton, IL",3.45,0,20.00,1.77
"Alvin, TX",3.89,0,20.00,0
"Amarillo, TX",4.85,850.00,12.50,0
"Ames, IA",3.59,833.33,10.00,1.50
"Amherst, MA",6.00,"1,600.00",19.00,2.50
"Amherst, NY",5.00,0,18.00,2.00
"Anaheim, CA",4.25,"2,200.00",22.00,2.48
"Anchorage, AK",4.29,"1,379.00",20.00,2.42
"Anderson, IN",2.25,0,16.00,2.29
"Anderson, SC",3.42,"1,000.00",20.50,2.02
"Andover, MA",4.06,"2,500.00",19.00,2.22
"Angleton, TX",3.57,"1,500.00",20.00,1.09
"Ankeny, IA",4.40,925.00,11.00,0
"Ann Arbor, MI",3.03,"1,846.67",15.00,2.00
"Anna, TX",6.00,"2,610.00",0,0
"Annapolis, MD",3.73,"2,833.33",20.00,1.62
"Antioch, CA",6.00,"2,300.00",0,0
"Apopka, FL",4.47,0,20.00,2.54
"Apple Valley, CA",3.95,"1,949.00",25.00,2.00
"Apple Valley, MN",2.89,0,10.50,1.25
"Appleton, WI",3.52,"1,550.00",17.82,2.00
"Archbold, OH",0,0,0,0
"Arlington, KY",2.80,"2,600.00",20.00,1.77
"Arlington, TX",3.84,"1,200.00",20.00,1.69
"Arlington, VA",4.60,"2,322.50",20.00,2.23
"Arlington, WA",4.08,"1,300.00",15.00,1.00
"Artesia, NM",0,0,12.00,0
"Ashburn, VA",3.80,"2,125.00",16.00,3.00
"Asheville, NC",3.85,"2,325.00",23.50,2.00
"Ashland, MA",4.32,"1,650.00",17.50,2.16
"Ashland, OH",2.84,515.00,7.50,1.56
"Ashland, OR",3.29,0,15.00,3.00
"Ashland, WI",0,0,0,0
"Aspen, CO",4.50,"2,550.00",21.00,2.17
"Astoria, NY",4.10,"2,300.00",15.00,2.57
"Astoria, OR",0,"1,200.00",0,0
"Atascadero, CA",6.10,"1,200.00",20.00,2.00
"Athens, GA",3.18,"1,683.33",13.50,1.46
"Athens, OH",2.72,"1,700.00",15.00,1.14
"Athens, TN",3.73,900.00,22.00,2.00
"Atlanta, GA",3.92,"1,871.43",20.50,2.02
"Atlantic City, NJ",4.87,"1,200.00",20.00,2.50
"Attleboro, MA",4.50,"1,733.33",19.50,1.50
"Auburn, AL",3.63,933.33,10.50,2.14
"Auburn, CA",5.12,"1,750.00",28.00,2.65
"Auburn, WA",0,0,24.25,0
"Augusta, GA",3.01,"1,250.00",12.00,1.88
"Augusta, ME",4.25,975.00,20.00,1.80
"Aurora, CO",4.25,"1,750.00",20.00,2.00
"Aurora, IL",2.54,"1,400.00",15.00,2.00
"Austin, MN",3.20,"1,600.00",60.00,2.00
"Austin, TX",3.98,"2,254.62",20.00,2.27
"Avon, CO",0,"1,500.00",18.00,1.00
"Avondale, AZ",3.52,0,20.00,1.91
"Bainbridge Island, WA",3.98,"2,400.00",18.00,2.11
"Bakersfield, CA",3.64,"1,633.33",19.00,2.25
"Baltimore, MD",3.47,"1,600.00",17.50,2.04
"Bangor, ME",4.05,"1,400.00",15.00,2.50
"Banning, CA",4.54,"1,500.00",22.00,2.48
"Bar Harbor, ME",0,0,0,0
"Baraboo, WI",3.29,0,15.00,1.50
"Barnegat, NJ",4.00,0,17.50,2.70
"Barnstable, MA",4.50,"1,400.00",22.00,1.69
"Barrington, IL",4.33,"1,925.00",0,0
"Batavia, IL",2.72,800.00,15.00,1.83
"Batavia, OH",2.16,"1,800.00",20.00,2.01
"Baton Rouge, LA",4.68,"1,435.00",15.00,1.67
"Battle Creek, MI",4.26,0,0,0
"Bay Minette, AL",5.50,900.00,16.00,0.75
"Bayonne, NJ",4.32,"1,700.00",17.50,2.16
"Baytown, TX",2.99,0,20.00,2.27
"Beach Haven, NJ",5.61,0,30.00,2.27
"Beaufort, SC",0,"1,709.00",17.00,2.00
"Beaumont, TX",3.50,750.00,15.00,1.67
"Beaverton, OR",4.29,"1,662.00",20.00,2.47
"Beckley, WV",3.50,0,0,0
"Bedminster Township, NJ",4.32,0,17.50,2.16
"Bellbrook, OH",3.99,"1,225.00",20.00,1.99
"Belleville, IL",3.45,"1,200.00",18.75,1.77
"Bellevue, WA",4.22,"2,850.00",20.00,2.11
"Bellingham, WA",4.27,"1,575.00",20.00,2.13
"Belmont, CA",6.10,"2,250.00",20.00,2.67
"Beloit, WI",4.26,0,20.00,2.00
"Bemidji, MN",3.75,700.00,13.00,0
"Bend, OR",3.98,"2,487.50",18.00,1.60
"Bentonville, AR",4.20,"1,900.00",16.00,2.11
"Bergen County, NJ",4.68,"2,500.00",19.00,2.22
"Berkeley Heights, NJ",4.32,0,17.50,2.16
"Berkeley, CA",6.08,"2,486.67",20.00,2.25
"Berwyn, IL",4.50,0,20.00,0
"Bethel, AK",8.80,0,23.00,0
"Bethesda, MD",4.60,"2,050.00",17.00,2.25
"Bethlehem, PA",4.00,"1,498.33",16.00,2.38
"Beverly Hills, CA",4.25,"2,100.00",25.00,1.99
"Big Rapids, MI",3.25,"1,000.00",0,0
"Billings, MT",3.64,"1,150.00",16.02,1.75
